90815;145820;1;0
237629;242898;1;0
35651;37081;1;0
99801;101246;1;0
75227;79982;1;0
20531;25998;1;0
170752;173146;1;0
97004;117287;1;0
22046;31415;1;0
113786;126483;1;0
9441;234629;1;0
11992;13117;1;0
105915;138737;1;0
3908;129162;1;0
71578;216881;1;0
111609;164418;1;0
23252;80690;1;0
159691;170909;1;0
194015;194016;1;0
35656;39578;1;0
69750;118238;1;0
229712;229713;1;0
48421;242372;1;0
6237;7911;1;0
151861;157077;1;0
6910;7029;1;0
126524;157282;1;0
47943;48812;1;0
135721;151221;1;0
168238;178080;1;0
103181;103185;1;0
172678;182495;1;0
92137;94146;1;0
79605;130277;1;0
147262;174854;1;0
120118;144543;1;0
1885;2309;1;0
580;7478;1;0
118896;118897;1;0
130837;158132;1;0
243027;243475;1;0
12665;30002;1;0
42042;132931;1;0
65510;133407;1;0
15076;85550;1;0
185023;188529;1;0
148986;158853;1;0
3307;5105;1;0
28443;220164;1;0
15937;16457;1;0
57871;111913;1;0
136759;136760;1;0
64352;121527;1;0
26920;161860;1;0
52441;140775;1;0
14949;71502;1;0
3313;3336;1;0
250473;254715;1;0
4394;7243;1;0
126379;146891;1;0
230719;233161;1;0
84172;248794;1;0
36173;38052;1;0
78120;100780;1;0
121255;146104;1;0
110252;132147;1;0
86117;87699;1;0
117609;129994;1;0
297;78941;1;0
157003;165481;1;0
36074;87483;1;0
29308;139975;1;0
54385;58331;1;0
253251;253252;1;0
31734;136384;1;0
55055;167610;1;0
73585;77583;1;0
33542;63987;1;0
170087;236175;1;0
4714;9800;1;0
56887;58652;1;0
155440;161085;1;0
183403;190005;1;0
34051;47540;1;0
3511;32727;1;0
15021;15025;1;0
91030;104841;1;0
2423;47808;1;0
105727;230484;1;0
228563;232567;1;0
154089;187032;1;0
106239;113013;1;0
29243;30390;1;0
249036;249038;1;0
153843;172690;1;0
55502;120938;1;0
175732;221718;1;0
183601;183602;1;0
8;3459;1;0
4159;21700;1;0
54654;261780;1;0
11638;227601;1;0
260492;260601;1;0
187551;219468;1;0
103239;134642;1;0
134696;142712;1;0
77940;78805;1;0
22183;143166;1;0
171708;182657;1;0
59717;211573;1;0
